country,city_actual,rating_count,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,scarce_room,hotel_id,offer,offer_cat,year,distance,distance_alter,accommodation_type,nnights,rating
Austria,Vienna,36.0,City centre,Donauturm,17. Hernals,81,Vienna,4.0,4.5,216.0,1,21894,1,15-50% offer,2017,2.7,4.4,Apartment,1,4.4
Austria,Vienna,189.0,City centre,Donauturm,17. Hernals,81,Vienna,4.0,3.5,708.0,0,21897,1,1-15% offer,2017,1.7,3.8,Hotel,1,3.9
Austria,Vienna,53.0,City centre,Donauturm,Alsergrund,85,Vienna,4.0,3.5,629.0,0,21901,1,15-50% offer,2017,1.4,2.5,Hotel,1,3.7
Austria,Vienna,55.0,City centre,Donauturm,Alsergrund,83,Vienna,3.0,4.0,52.0,0,21902,1,15-50% offer,2017,1.7,2.5,Hotel,1,4.0
Austria,Vienna,33.0,City centre,Donauturm,Alsergrund,82,Vienna,4.0,3.5,219.0,1,21903,1,15-50% offer,2017,1.2,2.8,Hotel,1,3.9
Austria,Vienna,25.0,City centre,Donauturm,Alsergrund,229,Vienna,5.0,4.5,27.0,1,21904,1,1-15% offer,2017,0.9,3.0,Apartment,1,4.8
Austria,Vienna,57.0,City centre,Donauturm,Alsergrund,103,Vienna,4.0,3.5,251.0,1,21906,0,0% no offer,2017,0.9,2.4,Hotel,1,3.9
Austria,Vienna,161.0,City centre,Donauturm,Alsergrund,150,Vienna,4.0,4.5,617.0,0,21907,0,0% no offer,2017,1.0,2.7,Hotel,1,4.6
Austria,Vienna,50.0,City centre,Donauturm,Alsergrund,80,Vienna,2.0,3.5,146.0,1,21908,1,1-15% offer,2017,0.7,2.7,Hotel,1,3.5
Austria,Vienna,203.0,City centre,Donauturm,Alsergrund,60,Vienna,4.0,4.0,359.0,1,21912,1,1-15% offer,2017,1.1,2.7,Hotel,1,4.1
Austria,Vienna,251.0,City centre,Donauturm,Alsergrund,128,Vienna,4.0,4.0,829.0,0,21913,0,0% no offer,2017,0.8,2.9,Hotel,1,4.0
Austria,Vienna,142.0,City centre,Donauturm,Alsergrund,100,Vienna,4.0,4.0,55.0,1,21914,1,15-50% offer,2017,1.0,2.3,Apartment,1,4.5
Austria,Vienna,8.0,City centre,Donauturm,Alsergrund,143,Vienna,2.0,,,1,21915,1,15-50% offer,2017,1.2,2.3,Apartment,1,3.7
Austria,Vienna,18.0,City centre,Donauturm,Alsergrund,85,Vienna,4.0,4.0,62.0,0,21917,1,1-15% offer,2017,1.7,2.6,Hotel,1,4.1
Austria,Vienna,20.0,City centre,Donauturm,Alsergrund,77,Vienna,3.0,3.5,97.0,0,21918,1,15-50% offer,2017,0.9,2.8,Hotel,1,3.7
Austria,Vienna,77.0,City centre,Donauturm,Alsergrund,78,Vienna,3.0,3.5,120.0,1,21919,1,15-50% offer,2017,0.8,2.8,Hotel,1,3.9
Austria,Vienna,76.0,City centre,Donauturm,Alsergrund,78,Vienna,3.0,3.5,161.0,1,21920,0,0% no offer,2017,0.9,2.8,Hotel,1,4.0
Austria,Vienna,5.0,City centre,Donauturm,Donaustadt,158,Vienna,3.0,4.5,72.0,1,21922,0,0% no offer,2017,3.4,0.6,Apartment,1,4.8
Austria,Vienna,77.0,City centre,Donauturm,Donaustadt,77,Vienna,3.0,4.0,158.0,1,21924,0,0% no offer,2017,4.2,1.5,Hotel,1,3.9
Austria,Vienna,193.0,City centre,Donauturm,Donaustadt,77,Vienna,3.0,3.0,91.0,0,21925,1,50%-75% offer,2017,3.9,1.9,Hotel,1,2.7
Austria,Vienna,94.0,City centre,Donauturm,Donaustadt,95,Vienna,4.0,4.0,228.0,0,21926,1,15-50% offer,2017,3.6,1.2,Hotel,1,4.3
Austria,Vienna,1.0,City centre,Donauturm,Donaustadt,156,Vienna,3.0,,,1,21927,0,0% no offer,2017,3.8,1.2,Apartment,1,3.0
Austria,Vienna,5.0,City centre,Donauturm,Donaustadt,145,Vienna,3.0,4.5,205.0,1,21928,0,0% no offer,2017,3.5,0.8,Bed and breakfast,1,3.5
Austria,Vienna,178.0,City centre,Donauturm,Donaustadt,208,Vienna,4.0,4.0,1085.0,1,21930,0,0% no offer,2017,2.9,0.6,Hotel,1,4.1
Austria,Vienna,330.0,City centre,Donauturm,Donaustadt,87,Vienna,3.0,3.5,423.0,1,21933,0,0% no offer,2017,3.4,0.9,Hotel,1,3.7
Austria,Vienna,6.0,City centre,Donauturm,Favoriten,131,Vienna,2.0,,,1,21934,1,15-50% offer,2017,2.3,4.9,Apartment,1,3.5
Austria,Vienna,194.0,City centre,Donauturm,Favoriten,54,Vienna,3.0,4.0,522.0,0,21935,1,50%-75% offer,2017,2.0,4.5,Hotel,1,3.5
Austria,Vienna,9.0,City centre,Donauturm,Favoriten,139,Vienna,2.0,3.0,17.0,1,21936,1,15-50% offer,2017,2.4,5.0,Apartment,1,3.0
Austria,Vienna,3.0,City centre,Donauturm,Favoriten,184,Vienna,2.0,,,1,21937,1,15-50% offer,2017,2.8,5.3,Apartment,1,3.2
Austria,Vienna,1.0,City centre,Donauturm,Favoriten,127,Vienna,3.0,,,1,21938,1,15-50% offer,2017,2.9,5.2,Apartment,1,1.0
Austria,Vienna,441.0,City centre,Donauturm,Favoriten,99,Vienna,3.5,4.5,630.0,0,21940,0,0% no offer,2017,1.7,4.2,Hotel,1,4.4
Austria,Vienna,1122.0,City centre,Donauturm,Favoriten,75,Vienna,3.5,4.5,573.0,0,21941,1,15-50% offer,2017,1.7,4.1,Hotel,1,4.4
Austria,Vienna,362.0,City centre,Donauturm,Favoriten,76,Vienna,3.0,4.0,269.0,0,21943,1,15-50% offer,2017,2.1,4.6,Hotel,1,4.4
Austria,Vienna,2.0,City centre,Donauturm,Favoriten,130,Vienna,2.0,,,1,21945,1,15-50% offer,2017,2.5,5.1,Apartment,1,3.0
Austria,Vienna,525.0,City centre,Donauturm,Favoriten,91,Vienna,4.0,4.5,741.0,0,21946,0,0% no offer,2017,1.9,4.2,Hotel,1,4.5
Austria,Vienna,1.0,City centre,Donauturm,Favoriten,135,Vienna,2.0,,,1,21947,1,15-50% offer,2017,2.4,5.0,Apartment,1,3.0
Austria,Vienna,113.0,City centre,Donauturm,Favoriten,56,Vienna,2.0,3.0,183.0,1,21948,0,0% no offer,2017,2.0,4.5,Hotel,1,2.0
Austria,Vienna,71.0,City centre,Donauturm,Favoriten,27,Vienna,2.0,3.5,216.0,1,21949,0,0% no offer,2017,2.7,5.1,Hostel,1,3.7
Austria,Vienna,1.0,City centre,Donauturm,Favoriten,88,Vienna,3.0,,,1,21950,1,1-15% offer,2017,2.3,4.6,Apartment,1,3.0
Austria,Vienna,22.0,City centre,Donauturm,Favoriten,133,Vienna,2.0,,,1,21951,1,15-50% offer,2017,2.5,4.8,Apartment,1,3.5
Austria,Vienna,366.0,City centre,Donauturm,Favoriten,33,Vienna,2.0,3.5,491.0,0,21956,0,0% no offer,2017,1.8,4.3,Hotel,1,3.4
Austria,Vienna,821.0,City centre,Donauturm,Favoriten,71,Vienna,4.0,4.0,31.0,0,21959,1,1-15% offer,2017,1.7,4.2,Hotel,1,4.0
Austria,Vienna,16.0,City centre,Donauturm,Favoriten,90,Vienna,3.5,,,1,21960,1,1-15% offer,2017,2.7,5.3,Apartment,1,3.5
Austria,Vienna,23.0,City centre,Donauturm,Favoriten,84,Vienna,4.0,,,1,21962,1,15-50% offer,2017,1.9,4.3,Apartment,1,4.1
Austria,Vienna,38.0,City centre,Donauturm,Favoriten,63,Vienna,3.0,,,0,21963,1,15-50% offer,2017,2.3,4.7,Guest House,1,4.3
Austria,Fischamend,366.0,City centre,Donauturm,Fischamend,59,Vienna,3.0,2.5,243.0,0,21964,1,15-50% offer,2017,13.0,13.0,Hotel,1,3.0
Austria,Vienna,77.0,City centre,Donauturm,Graben,113,Vienna,3.0,4.0,259.0,0,21965,1,15-50% offer,2017,0.2,2.9,Hotel,1,4.4
Austria,Vienna,27.0,City centre,Donauturm,Graben,218,Vienna,4.5,,,1,21966,1,1-15% offer,2017,0.1,2.9,Apartment,1,4.1
Austria,Vienna,144.0,City centre,Donauturm,Graben,299,Vienna,5.0,4.5,702.0,1,21967,1,50%-75% offer,2017,0.1,2.8,Hotel,1,4.5
Austria,Vienna,184.0,City centre,Donauturm,Innere Stadt,156,Vienna,3.0,4.5,1347.0,1,21968,1,1-15% offer,2017,0.3,2.6,Hotel,1,4.5
Austria,Vienna,78.0,City centre,Donauturm,Innere Stadt,513,Vienna,5.0,5.0,1126.0,1,21969,1,15-50% offer,2017,0.3,2.8,Hotel,1,4.8
Austria,Vienna,319.0,City centre,Donauturm,Innere Stadt,133,Vienna,4.0,4.0,466.0,1,21970,1,15-50% offer,2017,0.3,2.6,Hotel,1,4.3
Austria,Vienna,73.0,City centre,Donauturm,Innere Stadt,123,Vienna,4.0,3.5,47.0,1,21971,1,15-50% offer,2017,0.5,3.1,Hotel,1,4.1
Austria,Vienna,81.0,City centre,Donauturm,Innere Stadt,219,Vienna,4.0,4.5,392.0,1,21972,1,1-15% offer,2017,0.3,3.0,Hotel,1,4.5
Austria,Vienna,271.0,City centre,Donauturm,Innere Stadt,152,Vienna,4.0,4.0,261.0,0,21973,1,15-50% offer,2017,0.3,3.0,Hotel,1,4.3
Austria,Vienna,211.0,City centre,Donauturm,Innere Stadt,115,Vienna,4.0,4.5,211.0,1,21975,1,15-50% offer,2017,0.1,2.7,Hotel,1,4.3
Austria,Vienna,5.0,City centre,Donauturm,Innere Stadt,806,Vienna,5.0,4.5,114.0,0,21976,1,15-50% offer,2017,0.3,2.8,Hotel,1,4.5
Austria,Vienna,316.0,City centre,Donauturm,Innere Stadt,138,Vienna,4.0,4.5,463.0,0,21977,1,15-50% offer,2017,0.2,2.6,Hotel,1,4.5
Austria,Vienna,28.0,City centre,Donauturm,Innere Stadt,95,Vienna,3.0,,,1,21979,0,0% no offer,2017,0.4,2.5,Apartment,1,3.7
Austria,Vienna,336.0,City centre,Donauturm,Innere Stadt,146,Vienna,4.0,4.0,714.0,0,21980,0,0% no offer,2017,0.1,2.9,Hotel,1,4.4
Austria,Vienna,83.0,City centre,Donauturm,Innere Stadt,103,Vienna,3.0,4.0,159.0,0,21981,0,0% no offer,2017,0.7,3.1,Pension,1,4.0
Austria,Vienna,88.0,City centre,Donauturm,Innere Stadt,98,Vienna,3.0,3.5,66.0,1,21984,0,0% no offer,2017,0.5,2.6,Hotel,1,3.7
Austria,Vienna,140.0,City centre,Donauturm,Innere Stadt,121,Vienna,3.5,4.5,557.0,1,21985,1,15-50% offer,2017,0.3,2.5,Hotel,1,4.5
Austria,Vienna,391.0,City centre,Donauturm,Innere Stadt,149,Vienna,4.0,4.0,1516.0,0,21986,1,1-15% offer,2017,0.2,2.6,Hotel,1,4.0
Austria,Vienna,320.0,City centre,Donauturm,Innere Stadt,120,Vienna,3.0,3.5,515.0,0,21987,1,1-15% offer,2017,0.3,2.5,Hotel,1,3.9
Austria,Vienna,21.0,City centre,Donauturm,Innere Stadt,157,Vienna,3.0,4.5,146.0,1,21988,1,1-15% offer,2017,0.4,2.9,Hotel,1,4.4
Austria,Vienna,193.0,City centre,Donauturm,Innere Stadt,261,Vienna,5.0,5.0,945.0,1,21989,1,15-50% offer,2017,0.3,3.1,Hotel,1,4.8
Austria,Vienna,75.0,City centre,Donauturm,Innere Stadt,145,Vienna,3.5,4.0,48.0,1,21990,1,15-50% offer,2017,0.7,3.4,Apartment,1,4.1
Austria,Vienna,35.0,City centre,Donauturm,Innere Stadt,275,Vienna,4.0,4.0,16.0,1,21991,1,15-50% offer,2017,0.2,2.6,Apartment,1,4.3
Austria,Vienna,505.0,City centre,Donauturm,Innere Stadt,112,Vienna,4.0,4.0,607.0,0,21995,1,15-50% offer,2017,0.2,2.9,Hotel,1,4.0
Austria,Vienna,386.0,City centre,Donauturm,Innere Stadt,138,Vienna,4.0,4.0,273.0,0,21996,1,15-50% offer,2017,0.3,2.5,Hotel,1,4.3
Austria,Vienna,109.0,City centre,Donauturm,Innere Stadt,84,Vienna,3.0,4.0,171.0,1,21997,1,1-15% offer,2017,0.4,2.6,Pension,1,4.0
Austria,Vienna,626.0,City centre,Donauturm,Innere Stadt,199,Vienna,4.5,4.5,3171.0,0,21998,1,50%-75% offer,2017,0.3,2.9,Hotel,1,4.5
Austria,Vienna,334.0,City centre,Donauturm,Innere Stadt,203,Vienna,5.0,4.5,917.0,0,21999,1,15-50% offer,2017,0.3,2.9,Hotel,1,4.4
Austria,Vienna,11.0,City centre,Donauturm,Innere Stadt,168,Vienna,3.5,3.5,4.0,1,22005,1,15-50% offer,2017,0.2,2.6,Apartment,1,4.0
Austria,Vienna,150.0,City centre,Donauturm,Innere Stadt,544,Vienna,5.0,4.5,1178.0,0,22006,0,0% no offer,2017,0.5,3.2,Hotel,1,4.8
Austria,Vienna,531.0,City centre,Donauturm,Innere Stadt,252,Vienna,5.0,4.5,1050.0,0,22007,1,1-15% offer,2017,0.5,3.2,Hotel,1,4.6
Austria,Vienna,253.0,City centre,Donauturm,Innere Stadt,323,Vienna,5.0,4.5,1168.0,0,22008,1,15-50% offer,2017,0.5,3.2,Hotel,1,4.5
Austria,Vienna,47.0,City centre,Donauturm,Innere Stadt,158,Vienna,3.0,4.0,232.0,1,22009,0,0% no offer,2017,0.3,3.1,Hotel,1,4.3
Austria,Vienna,19.0,City centre,Donauturm,Innere Stadt,156,Vienna,3.5,,,1,22010,1,15-50% offer,2017,0.2,2.7,Apartment,1,4.0
Austria,Vienna,124.0,City centre,Donauturm,Innere Stadt,218,Vienna,4.0,5.0,1112.0,1,22011,1,50%-75% offer,2017,0.2,2.6,Hotel,1,4.6
